filename,category,word_count,has_specific_data,has_unique_content,template_phrases_count,duplicate_conclusions,grade,notes
baby-botox-subtle-anti-aging-micro-dosing.html,cosmetic-dermatology/injectables,830,Y,N,0,N,FAIL,Generic/non-unique content
bellafill-permanent-filler.html,cosmetic-dermatology/injectables,311,Y,N,5,Y,FAIL,Generic/non-unique content; Too many template phrases (5); Multiple conclusion headings
biofilm-formation-after-fillers-delayed-reactions.html,cosmetic-dermatology/injectables,863,Y,N,0,N,FAIL,Generic/non-unique content
botox-bunny-lines.html,cosmetic-dermatology/injectables,305,Y,N,2,Y,FAIL,Generic/non-unique content; Multiple conclusion headings
botox-crow-feet.html,cosmetic-dermatology/injectables,327,Y,N,4,Y,FAIL,Generic/non-unique content; Too many template phrases (4); Multiple conclusion headings
botox-for-forehead-lines-what-to-expect.html,cosmetic-dermatology/injectables,872,Y,N,0,N,FAIL,Generic/non-unique content
botox-for-masseter-reduction-jawline-slimming.html,cosmetic-dermatology/injectables,863,Y,N,0,N,FAIL,Generic/non-unique content
botox-forehead-lines.html,cosmetic-dermatology/injectables,312,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
botox-frown-lines.html,cosmetic-dermatology/injectables,296,Y,N,1,Y,FAIL,Too short (< 300 words)
botox-hyperhidrosis.html,cosmetic-dermatology/injectables,311,Y,N,1,Y,FAIL,Generic/non-unique content; Multiple conclusion headings
botox-lip-flip.html,cosmetic-dermatology/injectables,301,Y,N,5,Y,FAIL,Generic/non-unique content; Too many template phrases (5); Multiple conclusion headings
botox-masseter-jawline.html,cosmetic-dermatology/injectables,296,Y,N,2,Y,FAIL,Too short (< 300 words)
botox-overview.html,cosmetic-dermatology/injectables,327,Y,N,4,Y,FAIL,Generic/non-unique content; Too many template phrases (4); Multiple conclusion headings
botox-side-effects-understanding-risks-and-complications.html,cosmetic-dermatology/injectables,851,Y,N,0,N,FAIL,Generic/non-unique content
botox-vs-fillers.html,cosmetic-dermatology/injectables,365,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
cheek-enhancement-fillers.html,cosmetic-dermatology/injectables,355,Y,N,6,Y,FAIL,Generic/non-unique content; Too many template phrases (6); Multiple conclusion headings
cheek-fillers-volume-restoration-and-contouring.html,cosmetic-dermatology/injectables,834,Y,N,0,N,FAIL,Generic/non-unique content
chin-augmentation-with-fillers-non-surgical-approach.html,cosmetic-dermatology/injectables,866,Y,N,0,N,FAIL,Generic/non-unique content
choosing-a-qualified-injector-red-flags-to-watch-for.html,cosmetic-dermatology/injectables,866,Y,N,0,N,FAIL,Generic/non-unique content
choosing-qualified-injector.html,cosmetic-dermatology/injectables,467,Y,N,4,Y,FAIL,Generic/non-unique content; Too many template phrases (4); Multiple conclusion headings
daxxify-the-long-lasting-neurotoxin.html,cosmetic-dermatology/injectables,821,Y,N,0,N,FAIL,Generic/non-unique content
dermal-fillers-overview.html,cosmetic-dermatology/injectables,314,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
dissolving-lip-fillers-hyaluronidase-treatment.html,cosmetic-dermatology/injectables,849,Y,N,0,N,FAIL,Generic/non-unique content
dysport-vs-botox-comparing-neurotoxins.html,cosmetic-dermatology/injectables,846,Y,N,0,N,FAIL,Generic/non-unique content
dysport-vs-botox.html,cosmetic-dermatology/injectables,359,Y,N,5,Y,FAIL,Generic/non-unique content; Too many template phrases (5); Multiple conclusion headings
ellanse-pcl-based-collagen-stimulator.html,cosmetic-dermatology/injectables,821,Y,N,0,N,FAIL,Generic/non-unique content
filler-dissolving-hyaluronidase.html,cosmetic-dermatology/injectables,393,Y,N,4,Y,FAIL,Generic/non-unique content; Too many template phrases (4); Multiple conclusion headings
filler-nodules-prevention-and-treatment-options.html,cosmetic-dermatology/injectables,831,Y,N,0,N,FAIL,Generic/non-unique content
hand-rejuvenation-fillers-for-aging-hands.html,cosmetic-dermatology/injectables,840,Y,N,0,N,FAIL,Generic/non-unique content
hand-rejuvenation-fillers.html,cosmetic-dermatology/injectables,378,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
hyaluronic-acid-fillers.html,cosmetic-dermatology/injectables,341,Y,N,6,Y,FAIL,Generic/non-unique content; Too many template phrases (6); Multiple conclusion headings
hyperdilute-radiesse-skin-tightening-technique.html,cosmetic-dermatology/injectables,833,Y,N,0,N,FAIL,Generic/non-unique content
index.html,cosmetic-dermatology/injectables,1553,Y,N,0,N,FAIL,Generic/non-unique content
injectable-combination-therapy-botox-plus-fillers.html,cosmetic-dermatology/injectables,850,Y,N,0,N,FAIL,Generic/non-unique content
jawline-contouring-fillers.html,cosmetic-dermatology/injectables,353,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
jawline-fillers-defining-and-sculpting.html,cosmetic-dermatology/injectables,838,Y,N,0,N,FAIL,Generic/non-unique content
jeuveau-overview.html,cosmetic-dermatology/injectables,291,Y,N,2,Y,FAIL,Too short (< 300 words)
juvederm-product-line-complete-filler-guide.html,cosmetic-dermatology/injectables,850,Y,N,0,N,FAIL,Generic/non-unique content
lip-augmentation-fillers.html,cosmetic-dermatology/injectables,360,Y,N,5,Y,FAIL,Generic/non-unique content; Too many template phrases (5); Multiple conclusion headings
lip-filler-migration-prevention-and-management.html,cosmetic-dermatology/injectables,847,Y,N,0,N,FAIL,Generic/non-unique content
lip-fillers-natural-enhancement-techniques.html,cosmetic-dermatology/injectables,838,Y,N,0,N,FAIL,Generic/non-unique content
lip-flip-botox-for-upper-lip-enhancement.html,cosmetic-dermatology/injectables,832,Y,N,0,N,FAIL,Generic/non-unique content
liquid-rhinoplasty.html,cosmetic-dermatology/injectables,335,Y,N,6,Y,FAIL,Generic/non-unique content; Too many template phrases (6); Multiple conclusion headings
marionette-line-fillers.html,cosmetic-dermatology/injectables,335,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
mesotherapy.html,cosmetic-dermatology/injectables,322,Y,Y,2,Y,FAIL,Multiple conclusion headings
nasolabial-fold-fillers-smile-line-treatment.html,cosmetic-dermatology/injectables,855,Y,N,0,N,FAIL,Generic/non-unique content
nasolabial-fold-fillers.html,cosmetic-dermatology/injectables,333,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
non-surgical-nose-job-rhinoplasty-with-fillers.html,cosmetic-dermatology/injectables,855,Y,N,0,N,FAIL,Generic/non-unique content
plla-threads-vs-filler-comparing-collagen-stimulation.html,cosmetic-dermatology/injectables,867,Y,N,0,N,FAIL,Generic/non-unique content
post-injectable-care-maximizing-your-results.html,cosmetic-dermatology/injectables,838,Y,N,0,N,FAIL,Generic/non-unique content
prp-prfinjections.html,cosmetic-dermatology/injectables,369,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
radiesse-caha.html,cosmetic-dermatology/injectables,315,Y,N,5,Y,FAIL,Generic/non-unique content; Too many template phrases (5); Multiple conclusion headings
radiesse-calcium-hydroxylapatite-filler-and-biostimulator.html,cosmetic-dermatology/injectables,818,Y,N,0,N,FAIL,Generic/non-unique content
restylane-family-hyaluronic-acid-filler-options.html,cosmetic-dermatology/injectables,831,Y,N,0,N,FAIL,Generic/non-unique content
russian-lip-technique-structured-lip-augmentation.html,cosmetic-dermatology/injectables,847,Y,N,0,N,FAIL,Generic/non-unique content
sculptra-plla.html,cosmetic-dermatology/injectables,302,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
sculptra-poly-l-lactic-acid-biostimulator.html,cosmetic-dermatology/injectables,821,Y,N,0,N,FAIL,Generic/non-unique content
temple-fillers-restoring-facial-volume.html,cosmetic-dermatology/injectables,830,Y,N,0,N,FAIL,Generic/non-unique content
under-eye-filler.html,cosmetic-dermatology/injectables,299,Y,N,3,Y,FAIL,Too short (< 300 words)
under-eye-fillers-treating-tear-trough-hollows.html,cosmetic-dermatology/injectables,840,Y,N,0,N,FAIL,Generic/non-unique content
vascular-compromise-from-fillers-recognizing-emergency-signs.html,cosmetic-dermatology/injectables,864,Y,N,0,N,FAIL,Generic/non-unique content
vascular-occlusion-fillers.html,cosmetic-dermatology/injectables,371,Y,N,2,Y,FAIL,Generic/non-unique content; Multiple conclusion headings
xeomin-overview.html,cosmetic-dermatology/injectables,303,Y,N,1,Y,FAIL,Generic/non-unique content; Multiple conclusion headings
xeomin-the-naked-neurotoxin.html,cosmetic-dermatology/injectables,813,Y,N,0,N,FAIL,Generic/non-unique content
1540nm-fractional-non-ablative-collagen-remodeling.html,cosmetic-dermatology/lasers,854,Y,N,0,N,FAIL,Generic/non-unique content
ablative-laser-recovery-week-by-week-timeline.html,cosmetic-dermatology/lasers,847,Y,N,0,N,FAIL,Generic/non-unique content
alexandrite-laser.html,cosmetic-dermatology/lasers,325,Y,N,1,Y,FAIL,Generic/non-unique content; Multiple conclusion headings
at-home-laser-hair-removal-devices-vs-professional-treatment.html,cosmetic-dermatology/lasers,866,Y,N,0,N,FAIL,Generic/non-unique content
bbl-broadband-light.html,cosmetic-dermatology/lasers,311,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
bbl-hero-broadband-light-skin-rejuvenation.html,cosmetic-dermatology/lasers,835,Y,N,0,N,FAIL,Generic/non-unique content
brazilian-laser-hair-removal-what-to-know.html,cosmetic-dermatology/lasers,873,Y,N,0,N,FAIL,Generic/non-unique content
clear-and-brilliant-entry-level-fractional-laser.html,cosmetic-dermatology/lasers,856,Y,N,0,N,FAIL,Generic/non-unique content
clear-brilliant-laser.html,cosmetic-dermatology/lasers,305,Y,N,2,Y,FAIL,Generic/non-unique content; Multiple conclusion headings
co2-laser-resurfacing-ablative.html,cosmetic-dermatology/lasers,316,Y,N,1,Y,FAIL,Generic/non-unique content; Multiple conclusion headings
co2-laser-resurfacing-deep-wrinkle-and-scar-treatment.html,cosmetic-dermatology/lasers,850,Y,N,0,N,FAIL,Generic/non-unique content
colored-tattoo-removal-challenging-ink-colors.html,cosmetic-dermatology/lasers,851,Y,N,0,N,FAIL,Generic/non-unique content
comparing-laser-treatments.html,cosmetic-dermatology/lasers,492,Y,N,2,Y,FAIL,Generic/non-unique content; Multiple conclusion headings
coolsculpting-cryolipolysis.html,cosmetic-dermatology/lasers,420,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
erbium-laser-ablative.html,cosmetic-dermatology/lasers,306,Y,N,1,Y,FAIL,Generic/non-unique content; Multiple conclusion headings
erbium-yag-laser-precision-skin-resurfacing.html,cosmetic-dermatology/lasers,856,Y,N,0,N,FAIL,Generic/non-unique content
forma-rf-treatment.html,cosmetic-dermatology/lasers,353,Y,N,3,Y,FAIL,Generic/non-unique content; Too many template phrases (3); Multiple conclusion headings
fractional-co2-combining-results-with-faster-recovery.html,cosmetic-dermatology/lasers,843,Y,N,0,N,FAIL,Generic/non-unique content
fraxel-laser-non-ablative-resurfacing-explained.html,cosmetic-dermatology/lasers,834,Y,N,0,N,FAIL,Generic/non-unique content
